"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 14, 140
"f:\study\design\canvas\apps\jebet\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"f:\study\design\canvas\apps\jebet\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"f:\study\design\canvas\apps\jebet\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"f:\study\design\canvas\apps\jebet\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 11, 116
"f:\study\design\canvas\apps\jebet\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 6, 62
"f:\study\design\canvas\apps\jebet\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 5, 71
"f:\study\design\canvas\apps\jebet\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 9, 84
"f:\study\design\canvas\apps\jebet\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 2, 36, 364
"f:\study\design\canvas\apps\jebet\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"f:\study\design\canvas\apps\jebet\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 13, 121
"f:\study\design\canvas\apps\jebet\src\components\ui\drawerui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 13, 117
"f:\study\design\canvas\apps\jebet\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 17, 199
"f:\study\design\canvas\apps\jebet\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"f:\study\design\canvas\apps\jebet\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"f:\study\design\canvas\apps\jebet\src\components\ui\scrollArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"f:\study\design\canvas\apps\jebet\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 14, 159
"f:\study\design\canvas\apps\jebet\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"f:\study\design\canvas\apps\jebet\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 16, 141
"f:\study\design\canvas\apps\jebet\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 696, 0, 12, 54, 762
"f:\study\design\canvas\apps\jebet\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"f:\study\design\canvas\apps\jebet\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"f:\study\design\canvas\apps\jebet\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"f:\study\design\canvas\apps\jebet\src\components\ui\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 17, 74
"f:\study\design\canvas\apps\jebet\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"f:\study\design\canvas\apps\jebet\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"f:\study\design\canvas\apps\jebet\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 4, 94
"f:\study\design\canvas\apps\jebet\src\lib\sign\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"f:\study\design\canvas\apps\jebet\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"f:\study\design\canvas\apps\jebet\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 1, 6, 63
"f:\study\design\canvas\apps\jebet\src\page\auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"f:\study\design\canvas\apps\jebet\src\page\dashboard\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 2, 7, 272
"f:\study\design\canvas\apps\jebet\src\page\dashboard\create\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
